"location";"hits";"keyword";"geo";"gprop";"month_year";"sigla_uf";"cod_uf"
"State of Rondônia";93;"zika virus";"BR";"web";"09-2016";"RO";11
"State of Rondônia";46;"zika virus";"BR";"web";"05-2016";"RO";11
"State of Roraima";21;"zika virus";"BR";"web";"01-2016";"RR";14
"State of Roraima";65;"zika virus";"BR";"web";"07-2016";"RR";14
"State of Roraima";100;"zika virus";"BR";"web";"10-2016";"RR";14
"State of Roraima";85;"zika virus";"BR";"web";"11-2016";"RR";14
"State of Roraima";35;"zika virus";"BR";"web";"04-2016";"RR";14
"State of Roraima";70;"zika virus";"BR";"web";"05-2016";"RR";14
"State of Roraima";38;"zika virus";"BR";"web";"02-2016";"RR";14
"State of Roraima";84;"zika virus";"BR";"web";"06-2016";"RR";14
"State of Roraima";0;"zika virus";"BR";"web";"08-2016";"RR";14
"State of Roraima";0;"zika virus";"BR";"web";"12-2016";"RR";14
"State of Roraima";50;"zika virus";"BR";"web";"03-2016";"RR";14
"State of Roraima";100;"zika virus";"BR";"web";"09-2016";"RR";14
"State of São Paulo";26;"zika virus";"BR";"web";"10-2016";"SP";35
"State of São Paulo";32;"zika virus";"BR";"web";"04-2016";"SP";35
"State of São Paulo";22;"zika virus";"BR";"web";"06-2016";"SP";35
"State of São Paulo";25;"zika virus";"BR";"web";"11-2016";"SP";35
"State of São Paulo";25;"zika virus";"BR";"web";"08-2016";"SP";35
"State of São Paulo";57;"zika virus";"BR";"web";"02-2016";"SP";35
"State of São Paulo";32;"zika virus";"BR";"web";"05-2016";"SP";35
"State of São Paulo";34;"zika virus";"BR";"web";"01-2016";"SP";35
"State of São Paulo";26;"zika virus";"BR";"web";"09-2016";"SP";35
"State of São Paulo";16;"zika virus";"BR";"web";"07-2016";"SP";35
"State of São Paulo";56;"zika virus";"BR";"web";"03-2016";"SP";35
"State of São Paulo";20;"zika virus";"BR";"web";"12-2016";"SP";35
"State of Santa Catarina";34;"zika virus";"BR";"web";"01-2016";"SC";42
"State of Santa Catarina";33;"zika virus";"BR";"web";"04-2016";"SC";42
"State of Santa Catarina";10;"zika virus";"BR";"web";"07-2016";"SC";42
"State of Santa Catarina";45;"zika virus";"BR";"web";"03-2016";"SC";42
"State of Santa Catarina";25;"zika virus";"BR";"web";"05-2016";"SC";42
"State of Santa Catarina";18;"zika virus";"BR";"web";"12-2016";"SC";42
"State of Santa Catarina";24;"zika virus";"BR";"web";"06-2016";"SC";42
"State of Santa Catarina";28;"zika virus";"BR";"web";"10-2016";"SC";42
"State of Santa Catarina";30;"zika virus";"BR";"web";"08-2016";"SC";42
"State of Santa Catarina";44;"zika virus";"BR";"web";"02-2016";"SC";42
"State of Santa Catarina";21;"zika virus";"BR";"web";"11-2016";"SC";42
"State of Santa Catarina";22;"zika virus";"BR";"web";"09-2016";"SC";42
"State of Sergipe";36;"zika virus";"BR";"web";"09-2016";"SE";28
"State of Sergipe";29;"zika virus";"BR";"web";"06-2016";"SE";28
"State of Sergipe";53;"zika virus";"BR";"web";"08-2016";"SE";28
"State of Sergipe";45;"zika virus";"BR";"web";"10-2016";"SE";28
"State of Sergipe";32;"zika virus";"BR";"web";"12-2016";"SE";28
"State of Sergipe";56;"zika virus";"BR";"web";"05-2016";"SE";28
"State of Sergipe";41;"zika virus";"BR";"web";"04-2016";"SE";28
"State of Sergipe";30;"zika virus";"BR";"web";"01-2016";"SE";28
"State of Sergipe";39;"zika virus";"BR";"web";"02-2016";"SE";28
"State of Sergipe";16;"zika virus";"BR";"web";"11-2016";"SE";28
"State of Sergipe";45;"zika virus";"BR";"web";"03-2016";"SE";28
"State of Sergipe";34;"zika virus";"BR";"web";"07-2016";"SE";28
"State of Tocantins";71;"zika virus";"BR";"web";"04-2016";"TO";17
"State of Tocantins";69;"zika virus";"BR";"web";"12-2016";"TO";17
"State of Tocantins";43;"zika virus";"BR";"web";"05-2016";"TO";17
"State of Tocantins";39;"zika virus";"BR";"web";"11-2016";"TO";17
"State of Tocantins";46;"zika virus";"BR";"web";"10-2016";"TO";17
"State of Tocantins";31;"zika virus";"BR";"web";"09-2016";"TO";17
"State of Tocantins";70;"zika virus";"BR";"web";"01-2016";"TO";17
"State of Tocantins";100;"zika virus";"BR";"web";"02-2016";"TO";17
"State of Tocantins";45;"zika virus";"BR";"web";"08-2016";"TO";17
"State of Tocantins";23;"zika virus";"BR";"web";"07-2016";"TO";17
"State of Tocantins";89;"zika virus";"BR";"web";"03-2016";"TO";17
"State of Tocantins";56;"zika virus";"BR";"web";"06-2016";"TO";17
